example_id                                           | status | run_time        |
---------------------------------------------------- | ------ | --------------- |
./spec/titles_from_headings/generator_spec.rb[1:1]   | passed | 0.15713 seconds |
./spec/titles_from_headings/generator_spec.rb[1:2:1] | passed | 0.0027 seconds  |
./spec/titles_from_headings/generator_spec.rb[1:2:2] | passed | 0.0029 seconds  |
./spec/titles_from_headings/generator_spec.rb[1:3:1] | passed | 0.00336 seconds |
./spec/titles_from_headings/generator_spec.rb[1:3:2] | passed | 0.00263 seconds |
./spec/titles_from_headings/generator_spec.rb[1:3:3] | passed | 0.00546 seconds |
./spec/titles_from_headings/generator_spec.rb[1:4:1] | passed | 0.00221 seconds |
./spec/titles_from_headings/generator_spec.rb[1:4:2] | passed | 0.00214 seconds |
./spec/titles_from_headings/generator_spec.rb[1:4:3] | passed | 0.00224 seconds |
./spec/titles_from_headings/generator_spec.rb[1:5:1] | passed | 0.00218 seconds |
./spec/titles_from_headings/generator_spec.rb[1:5:2] | passed | 0.00226 seconds |
./spec/titles_from_headings/generator_spec.rb[1:5:3] | passed | 0.00225 seconds |
./spec/titles_from_headings/generator_spec.rb[1:5:4] | passed | 0.00231 seconds |
./spec/titles_from_headings/generator_spec.rb[1:6:1] | passed | 0.0036 seconds  |
./spec/titles_from_headings/generator_spec.rb[1:6:2] | passed | 0.00473 seconds |
./spec/titles_from_headings/generator_spec.rb[1:6:3] | passed | 0.00346 seconds |
